id;list
1;3,4,5,6,7,38,39
2;33,35,36,37,39,41
3;33,35,36,37,39,41,42,43
4;32,33,34,35,36,37,38,39,40,41
5;32,33,34,35,36,37,38,39,40,41,42,43
6;33,35,36,37,39,41
7;33,35,36,37,39,41,42,43
8;32,33,34,35,36,37,38,39,40,41
9;32,33,34,35,36,37,38,39,40,41,42,43
10;1,2,4,5,6,7
11;1,2,3,4,5,6,7,8,9,10,11
12;1,2,3,4,5,6,7,8,9,10,11,12,13
13;1,2,3,4,5,6,7,8,9,10,11,12,13
14;22,34,35,40,41
15;19,20,23,26,27
16;19,32,33,34,35,36,37,38,39,40,41,42,43
17;19,27,32,33,34,35,36,37,38,39,40,41,42,43
18;22,32,33,34,35,36,37,38,39,40,41,42,43
19;22,32,33,34,35,36,37,38,39,40,41,42,43
20;22,32,33,34,35,36,37,38,39,40,41,42,43
21;22,32,33,34,35,36,37,38,39,40,41,42,43
22;22,32,33,34,35,36,37,38,39,40,41,42,43
23;19,20,32,33,34,35,36,37,38,39,40,41,42,43
24;19,20,22,27,32,33,34,35,36,37,38,39,40,41,42,43
25;23,32,33,34,35,36,37,38,39,40,41
26;23,32,33,34,35,36,37,38,39,40,41,42,43
27;23,32,33,34,35,36,37,38,39,40,41,42,43
28;23,32,33,34,35,36,37,38,39,40,41,42,43
29;19,23,27,32,33,34,35,36,37,38,39,40,41,42,43
30;11,14,20,22,26
31;19,20,22,23,26,27
32;19,20,23,26,27,32,33,34,35,36,37,38,39,40,41,42,43
33;19,20,22,23,26,27,32,33,34,35,36,37,38,39,40,41,42,43
34;22,23,32,33,34,35,36,37,38,39,40,41
35;22,23,32,33,34,35,36,37,38,39,40,41,42,43
36;22,23,32,33,34,35,36,37,38,39,40,41,42,43
37;22,23,32,33,34,35,36,37,38,39,40,41,42,43
38;11,14,20,22,26
39;19,20,23,24,26,27
40;22,23,24,26,27
41;19,20,22,23,24,26,27
42;19,20,23,24,26,27,32,33,34,35,36,37,38,39,40,41,42,43
43;1,2,4,5,6,7,22
44;1,2,3,4,5,6,7,8,9,10,11,26,34,35
45;1,2,3,4,5,6,7,8,9,10,11,20,22,26,34,35,40,41
46;1,2,3,4,5,6,7,8,9,10,11,14,20,22,26,34,35,40,41
47;1,2,3,4,5,6,7,8,9,10,11,14,20,22,26,34,35,40,41
48;1,2,3,4,5,6,7,8,9,10,11,14,20,22,26,34,35,40,41
49;1,2,3,4,5,6,7,8,9,10,11,16,17,30,31
50;13,16,17,30,31
51;1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,30,31
52;13,16,17,30,31
53;1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,30,31
54;14,16,17,30,31
55;1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,30,31
56;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,30,31
57;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,30,31
58;23,24,25,26,27,28,29
59;19,20,23,24,25,26,27,28,29
60;19,20,21,25,29
61;19,20,21,23,24,25,26,27,28,29
62;19,20,21,23,24,25,26,27,28,29
63;22,23,24,25,26,27,28,29
64;19,20,22,23,24,25,26,27,28,29
65;19,20,22,25,29
66;19,20,21,22,23,24,25,26,27,28,29
67;22,23,24,25,26,27,28,29
68;19,20,22,23,24,25,26,27,28,29
69;19,20,21,22,23,24,25,26,27,28,29,37
70;19,20,21,22,23,24,25,26,27,28,29,37
71;19,20,23,24,25,26,27,28,29,45
72;19,20,21,23,24,25,26,27,28,29,44,45
73;19,20,22,25,29,32,33,34,35,36,37,38,39,40,41,42,43
74;19,20,22,23,24,25,26,27,28,29,32,33,34,35,36,37,38,39,40,41,42,43
75;18,19,20,21,22,23,24,25,26,27,28,29
76;18,19,20,21,22,23,24,25,26,27,28,29,32,33,34,35,36,37,38,39,40,41,42,43
77;18,19,20,21,22,23,24,25,26,27,28,29,32,33,34,35,36,37,38,39,40,41,42,43,44,45
78;22,32,33,34,35,36,37,38,39,40,41,42,43
79;22,32,33,34,35,36,37,38,39,40,41,42,43
80;19,20,21,23,24,25,26,27,28,29,32,33,34,35,36,37,38,39,40,41,42,43
81;17,32,33,34,35,36,37,38,39,40,41,42,43
82;16,17,30,31,32,33,34,35,36,37,38,39,40,41,42,43
83;16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
84;13,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
85;13,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
86;13,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
87;22,26,33,35,36,37,39,41
88;16,17,32,33,34,35,36,37,38,39,40,41,42,43
89;17,32,33,34,35,36,37,38,39,40,41,42,43
90;16,17,30,31,32,33,34,35,36,37,38,39,40,41,42,43
91;12,13,32,33,34,35,36,37,38,39,40,41,42,43
92;12,13,16,17,30,31,32,33,34,35,36,37,38,39,40,41,42,43
93;14,18,19,20,21,22,23,24,25,26,27,28,29,32,33,34,35,36,37,38,39,40,41,42,43,46,47
94;1,2,4,5,6,7,17
95;1,2,3,4,5,6,7,8,9,10,11,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
96;1,2,4,5,6,7,16,17
97;12,13,32,33,34,35,36,37,38,39,40,41,42,43
98;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
99;12,13,16,17,30,31,32,33,34,35,36,37,38,39,40,41,42,43
100;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
101;12,13,16,17,30,31
102;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
